panel,book,cost,mode,ceil,screened,n_adm,arm,m,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,gross
small,TOP20,25.0,family,0.9,False,0,ebud-0.10,0.55,0.5879712300097495,0.07681903526773048,0.6716221500328897,-0.1731025959817878,0.403366427178002
small,EWall,10.0,family,0.9,False,0,control,0.9,0.7737018965506471,0.09191205845925166,0.6370950479437556,-0.3299578475591791,0.6751243125628796
small,EWall,25.0,family,0.9,False,0,control,0.9,0.7569999613761351,0.08915403367243524,0.6210312475737314,-0.3324202604296017,0.6751243125628796
u56,V1u,10.0,family,0.95,False,0,ebud-0.10,0.8,0.599836488309743,0.027218385269575762,0.5695479818607977,-0.0909047518676167,0.36947505325454116
u56,V1u,25.0,family,0.95,False,0,ebud-0.10,0.85,0.30165615292272896,0.010885355937885866,0.24179529909872366,-0.1091659616966637,0.374514670087127
u56,TOP20,10.0,family,0.95,True,28,ebud-0.20,0.75,1.187557621456552,0.1243113943211902,1.167124733493759,-0.17014210377791916,0.560313375886336
u56,TOP20,25.0,family,0.95,False,0,control,0.95,1.069161021699743,0.14331048556179105,1.0720232730152905,-0.21314463168774622,0.7097659023211961
u56,EWall,10.0,family,0.95,True,15,abs12-rw,0.95,1.1320702372541276,0.11444046147739373,1.031357758703838,-0.18958892094593238,0.7127818041533486
u56,EWall,25.0,family,0.95,True,13,control,0.95,1.0990063330619313,0.12980931038345256,1.1250297807959788,-0.21513669264295687,0.7127523809661737
broad,V1u,10.0,family,0.95,False,0,ebud-0.20,0.75,0.7275112288082732,0.029470785411441325,0.4483970115983604,-0.17188349870939013,0.48048548572220634
broad,V1u,25.0,family,0.95,False,0,ebud-0.10,0.95,0.3402907263264047,-0.0007508399323504777,0.00385715993675213,-0.1133932724977248,0.30372682672166706
broad,TOP20,10.0,family,0.95,True,68,ebud-0.10,0.95,1.1336886368949022,0.1189221772084823,0.8598596696873073,-0.2227567931874327,0.6369695572878251
broad,TOP20,25.0,family,0.95,True,9,ebud-0.10,0.95,1.0093767107160583,0.10231933323964904,0.7549378326619344,-0.22404948531577862,0.6369695572878251
broad,EWall,10.0,family,0.95,True,26,vol60-dg,0.95,1.1563146578009982,0.11406493052479316,1.1227246803199324,-0.1780597940634976,0.6871794012275101
broad,EWall,25.0,family,0.95,True,20,vol60-dg,0.95,1.138906944465584,0.11177492277663026,1.1022501990529086,-0.17818683869659946,0.6871794012275101
small,V1u,10.0,family,0.95,False,0,ddctl-8/.5/high,0.65,0.6521534153031082,0.025205730279263205,0.4431321705944808,-0.15878404235998755,0.31441689518961186
small,V1u,25.0,family,0.95,False,0,ebud-0.10,0.55,0.3345266507133192,-0.0051370045036592815,-0.08032899661556017,-0.21615856687247348,0.25720349749242327
small,TOP20,10.0,family,0.95,False,0,ebud-0.10,0.55,0.7215547596671987,0.0912221901498882,0.7812637673835188,-0.17234949340241323,0.403366427178002
small,TOP20,25.0,family,0.95,False,0,ebud-0.10,0.55,0.5879712300097495,0.07681903526773048,0.6716221500328897,-0.1731025959817878,0.403366427178002
small,EWall,10.0,family,0.95,False,0,control,0.95,0.7737175796182506,0.09643883175976442,0.6368807524813976,-0.3459333659355548,0.7126131520396246
small,EWall,25.0,family,0.95,False,0,control,0.95,0.757058032411922,0.09352267395217773,0.6208597029551267,-0.3484649828008909,0.7126131520396246
u56,V1u,10.0,family,1.0,False,0,ebud-0.10,0.8,0.599836488309743,0.027218385269575762,0.5695479818607977,-0.0909047518676167,0.36947505325454116
u56,V1u,25.0,family,1.0,False,0,ebud-0.10,0.85,0.30165615292272896,0.010885355937885866,0.24179529909872366,-0.1091659616966637,0.374514670087127
u56,TOP20,10.0,family,1.0,True,36,ebud-0.20,0.75,1.187557621456552,0.1243113943211902,1.167124733493759,-0.17014210377791916,0.560313375886336
u56,TOP20,25.0,family,1.0,False,0,control,1.0,1.0692805043296694,0.15087237124064035,1.0721876011978528,-0.22340270136729112,0.747068832234263
