panel,window,ref,rung,keying,L,f,c,share
U56,W252,FRACf0.04,f0.6,FRAC,151,0.5992063492063492,5,0.20833333333333334
U56,W252,FRACf0.04,f1,FRAC,252,1.0,19,0.7916666666666666
U56,W504,ABS63,1,ABS,1,0.0019841269841269,2,0.08333333333333333
U56,W504,ABS63,10,ABS,10,0.0198412698412698,1,0.041666666666666664
U56,W504,ABS63,1008,ABS,504,1.0,19,0.7916666666666666
U56,W504,ABS63,126,ABS,126,0.25,1,0.041666666666666664
U56,W504,ABS63,2,ABS,2,0.0039682539682539,2,0.08333333333333333
U56,W504,ABS63,21,ABS,21,0.0416666666666666,1,0.041666666666666664
U56,W504,ABS63,252,ABS,252,0.5,5,0.20833333333333334
U56,W504,ABS63,42,ABS,42,0.0833333333333333,0,0.0
U56,W504,ABS63,5,ABS,5,0.0099206349206349,1,0.041666666666666664
