panel,tau,mode,bps,kind,on_share,d_real,null_max_abs,null_mean,clears_two,clears_signed,clears_signed_IS,gap,overlap,pass4a,pass4b
BROAD136,0.2,skip,10,RS16,0.6410256410256411,-0.03391514365775361,0.09095465856422358,-0.05002939169671693,False,False,True,0.00902580913327027,0.9803999999999998,False,False
BROAD136,0.2,skip,10,RS2,0.6410256410256411,-0.03391514365775361,0.0921783658527977,0.02332882110816789,False,True,False,0.08736666199575699,0.8412,False,False
BROAD136,0.2,skip,10,RS4,0.6410256410256411,-0.03391514365775361,0.07418709765665721,0.011967723290390465,False,False,True,0.014523563789384191,0.9028,False,False
BROAD136,0.2,skip,10,RS8,0.6410256410256411,-0.03391514365775361,0.06945267175309078,-0.04171269954418765,False,False,True,0.01263744839728163,0.9774399999999999,False,False
BROAD136,0.2,skip,25,ROT,0.6410256410256411,0.05513372116955506,0.17732118459547308,0.10716736552400859,False,False,True,0.24794374300518515,0.64488,False,False
BROAD136,0.2,skip,25,RS1,0.6410256410256411,0.05513372116955506,0.18423542863971676,0.10367943011633807,False,False,False,0.2986495281855934,0.6402399999999999,False,False
BROAD136,0.2,skip,25,RS16,0.6410256410256411,0.05513372116955506,0.06668636323453636,0.038325953173104534,False,False,True,0.00902580913327027,0.9803999999999998,False,False
BROAD136,0.2,skip,25,RS2,0.6410256410256411,0.05513372116955506,0.17497877404420126,0.10613952707359933,False,False,False,0.08736666199575699,0.8412,False,False
BROAD136,0.2,skip,25,RS4,0.6410256410256411,0.05513372116955506,0.1608024202404068,0.09913405193453464,False,False,True,0.014523563789384191,0.9028,False,False
BROAD136,0.2,skip,25,RS8,0.6410256410256411,0.05513372116955506,0.06861529863879112,0.046528618188291834,False,False,True,0.01263744839728163,0.9774399999999999,False,False
BROAD136,0.3,half,10,ROT,0.19692307692307692,-0.008118614373006539,0.03938285311947343,-0.0010649871557303126,False,False,False,0.042526302176485564,0.1932291666666667,False,False
BROAD136,0.3,half,10,RS1,0.19692307692307692,-0.008118614373006539,0.02607567526706933,0.0008259674568691366,False,False,False,0.04415102042258343,0.19479166666666664,False,False
BROAD136,0.3,half,10,RS16,0.19692307692307692,-0.008118614373006539,0.02081166185126393,-0.014363241698743834,False,False,True,0.001808412299515868,0.95625,False,False
BROAD136,0.3,half,10,RS2,0.19692307692307692,-0.008118614373006539,0.044493349440752006,0.006807142169769414,False,False,False,0.019078724955520595,0.39140625000000007,False,False
BROAD136,0.3,half,10,RS4,0.19692307692307692,-0.008118614373006539,0.03440048033370613,-0.006409653929016701,False,False,False,0.005397909133677744,0.7869791666666666,False,False
BROAD136,0.3,half,10,RS8,0.19692307692307692,-0.008118614373006539,0.019629611474457076,-0.013154871724635576,False,False,False,0.0012822556623953755,0.8471354166666666,False,False
BROAD136,0.3,half,25,ROT,0.19692307692307692,0.007659582169338819,0.029053822592870038,0.008272954418279539,False,False,False,0.042526302176485564,0.1932291666666667,False,False
BROAD136,0.3,half,25,RS1,0.19692307692307692,0.007659582169338819,0.025270018786141546,0.009852913622394766,False,False,False,0.04415102042258343,0.19479166666666664,False,False
BROAD136,0.3,half,25,RS16,0.19692307692307692,0.007659582169338819,0.010534987457665235,0.0012498256248061946,False,False,True,0.001808412299515868,0.95625,False,False
BROAD136,0.3,half,25,RS2,0.19692307692307692,0.007659582169338819,0.05710423816556387,0.019279136734152595,False,False,False,0.019078724955520595,0.39140625000000007,False,False
BROAD136,0.3,half,25,RS4,0.19692307692307692,0.007659582169338819,0.049092508645762645,0.008451797610399431,False,False,False,0.005397909133677744,0.7869791666666666,False,False
BROAD136,0.3,half,25,RS8,0.19692307692307692,0.007659582169338819,0.011744521671504082,0.002600525334197723,False,False,False,0.0012822556623953755,0.8471354166666666,False,False
BROAD136,0.3,skip,10,ROT,0.19692307692307692,-0.02642874000613671,0.10202651533258211,-0.005880273046259976,False,False,False,0.08840341329362042,0.1932291666666667,False,False
BROAD136,0.3,skip,10,RS1,0.19692307692307692,-0.02642874000613671,0.04503627053738524,0.0010401866668354742,False,False,False,0.09050113778416591,0.19114583333333332,False,False
BROAD136,0.3,skip,10,RS16,0.19692307692307692,-0.02642874000613671,0.052451249220395346,-0.03919678011578338,False,False,True,0.0038437953709079434,0.9565104166666668,False,False
