panel,fold,chooser,base,ladder_set,L,ladder,rung,point_widest,runner_up,t,F,call,moved,OOS_Sharpe,OOS_CAGR,OOS_MaxDD
U56,2017,CH_POINT/ALL4/L252,CH_POINT,ALL4,252,N,40,N,CADENCE,-0.7130847985240787,7,TIE,True,2.866133498785207,0.1917812388039437,-0.01870225200964093
U56,2017,CH_RES/ALL4/L252,CH_RES,ALL4,252,CADENCE,W,N,CADENCE,-0.7130847985240787,7,TIE,False,2.2713478597701844,0.21556506810766884,-0.030435563333668814
U56,2017,CH_ANCHOR/ALL4/L504,CH_ANCHOR,ALL4,504,CADENCE,W,N,CADENCE,0.4285785045575219,3,TIE,False,2.2713478597701844,0.21556506810766884,-0.030435563333668814
U56,2017,CH_RAW/ALL4/L504,CH_RAW,ALL4,504,N,40,N,CADENCE,0.4285785045575219,3,TIE,True,2.866133498785207,0.1917812388039437,-0.01870225200964093
U56,2017,CH_POINT/ALL4/L504,CH_POINT,ALL4,504,N,40,N,CADENCE,0.4285785045575219,3,TIE,True,2.866133498785207,0.1917812388039437,-0.01870225200964093
U56,2017,CH_RES/ALL4/L504,CH_RES,ALL4,504,CADENCE,W,N,CADENCE,0.4285785045575219,3,TIE,False,2.2713478597701844,0.21556506810766884,-0.030435563333668814
U56,2017,CH_ANCHOR/NG/L63,CH_ANCHOR,NG,63,CADENCE,W,N,CADENCE,1.4562406160928874,31,TIE,False,2.2713478597701844,0.21556506810766884,-0.030435563333668814
U56,2017,CH_RAW/NG/L63,CH_RAW,NG,63,N,40,N,CADENCE,1.4562406160928874,31,TIE,True,2.866133498785207,0.1917812388039437,-0.01870225200964093
U56,2017,CH_POINT/NG/L63,CH_POINT,NG,63,N,40,N,CADENCE,1.4562406160928874,31,TIE,True,2.866133498785207,0.1917812388039437,-0.01870225200964093
U56,2017,CH_RES/NG/L63,CH_RES,NG,63,CADENCE,W,N,CADENCE,1.4562406160928874,31,TIE,False,2.2713478597701844,0.21556506810766884,-0.030435563333668814
