panel,book,cost,stop,arm,fires,fires_yr,CAGR,Sharpe,MaxDD,H1,H2,IS_Sharpe,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,dCAGR,dSharpe,dMaxDD,gross,turn_yr,lever_pp,d_crash_ann,d_trend_ann,y2020,y2022,fail4a,fail4b
u56,ew-band3,10,0.10,breadth20,349,19.812570398738455,0.10533248821566699,1.1028644663888032,-0.14350160784591792,1.0724116225293299,1.1323338725448238,0.9671904276898712,1.2136922091119748,0.11750178563768143,-0.14350160784591737,-0.7244901334501286,-0.03197754224615745,0.7876905775267229,0.7454684972423797,5.489309118826853,0.7890185807281859,-3.0353295060933996,-0.2033415664849713,-0.28249984126271777,-1.814918558935441,DD,CAGR
u56,ew-band3,10,0.15,always,498,28.271232259517912,0.10692619535775405,1.1162346791795819,-0.15288442420696524,1.1220754891658156,1.1126904802677675,1.0197685653990034,1.1937959466104164,0.1164720366450056,-0.15288442420696557,-0.5651194192414222,-0.018607329455378796,-0.15059105857800903,0.7454239260856291,5.4781793181575935,,-1.3800160186426946,-0.36796656327542515,-1.3406380330994283,-2.3968528835228597,DD,
u56,ew-band3,10,0.15,spy200,212,12.03514305023654,0.10812796949343428,1.1209794815007468,-0.15291812445081943,1.1217765263764923,1.1221003955973645,1.0198817990483051,1.20225065121051,0.1181671659527761,-0.15291812445081854,-0.4449420056733988,-0.013862527134213876,-0.15396108296342748,0.7475146722107505,5.141897588597244,,-1.6730978979243891,-0.16970369154862203,-1.3364187236804659,-2.795782564607696,DD,
u56,ew-band3,10,0.15,breadth20,142,8.06127506195089,0.10759695980526929,1.114072589298321,-0.1528844242069658,1.1072075803762673,1.1219016383280491,1.0051473413038707,1.2022514451658848,0.1179701000153881,-0.15288442420696513,-0.4980429744898984,-0.020769419336639672,-0.15059105857806454,0.7483128119971664,5.06894202248593,,-2.0472289209473056,-0.14855852569455957,-0.6223575483689014,-2.651481073606987,DD,
u56,ew-band3,10,0.20,always,169,9.594052714575355,0.10999157875405707,1.127477657608716,-0.14752179573032675,1.124306916502066,1.1330385114615367,1.0225963496810269,1.2107352846942359,0.12123136719093242,-0.1475217957303263,-0.25858107961111987,-0.007364351026244664,0.38567178908583966,0.7486201768359118,5.042922150472929,0.7903543997380438,-1.2926129695538984,-0.033245517667639994,-1.661133640630097,-0.6690664098320309,DD,
u56,ew-band3,10,0.20,spy200,81,4.598332957873395,0.10982866393555568,1.1232381439191486,-0.14752179573032664,1.115736762860628,1.1326465936644574,1.0140869932813512,1.2099464914250877,0.12141311934718635,-0.14752179573032675,-0.27487256146125905,-0.011603864715812096,0.38567178908585076,0.7491703057542235,4.96005146237205,0.790354399738021,-1.3449915892288427,-0.03717865067890508,-1.5287438600873893,-0.7035556265892362,DD,
u56,ew-band3,10,0.20,breadth20,55,3.1223248479387253,0.10979927000190459,1.1212925680366057,-0.14712703752031686,1.106484202340189,1.137108580594733,1.004757475330461,1.2141870425904007,0.12184087375336494,-0.14712703752031708,-0.277811954826368,-0.013549440598354945,0.425147610086829,0.7495349591434215,4.929357599159125,0.7902230673898848,-1.3727970484973757,-0.03282005312638597,-1.474380281987142,-0.7035556265892362,DD,
u56,ew-band3,10,0.25,always,58,3.29263347600811,0.11127517486167338,1.1275149442077228,-0.1518570439799285,1.1208763895764136,1.1364065495994784,1.0202331263361237,1.2124594754172278,0.1230275908179761,-0.1518570439799285,-0.1302214688494896,-0.0073270644272378505,-0.04785303587433454,0.749827679523393,4.8827455319141215,,-0.5897531685202473,-0.02509068547344853,-2.12576654593688,-0.5546616581785901,DD,
u56,ew-band3,10,0.25,spy200,30,1.70308628069385,0.11150219703094777,1.1290018722824635,-0.15185704397992827,1.1203234122586763,1.139713841572398,1.0199635071141218,1.2153526372884913,0.12340850577040707,-0.15185704397992827,-0.10751925192205025,-0.005840136352497138,-0.04785303587431233,0.749961153902393,4.865006006795238,,-0.5897531685202473,0.0002215988685205824,-2.12576654593688,-0.5503839276738365,DD,
u56,ew-band3,10,0.25,breadth20,25,1.419238567244875,0.11124436687153016,1.1266094668426885,-0.15146429329906164,1.1148520194726135,1.1400801834482428,1.0141049023059723,1.2156930109396837,0.12345208280351105,-0.15146429329906153,-0.13330226786381072,-0.008232541792272174,-0.008577967787648522,0.750008465891947,4.8648285683441355,,-0.724651360843489,0.0,-2.071679431921747,-0.5503839276738365,DD,
u56,ew-band3,25,none,none,0,0.0,0.10451259394014634,1.0603796617635768,-0.15219851332127932,1.0385032338857678,1.0829633381252193,0.9355096982281085,1.1587727381964559,0.11788556369379033,-0.1521985133212792,0.0,0.0,0.0,0.7502215815329506,4.8491012589916584,,0.0,0.0,0.0,0.0,DD,CAGR
u56,ew-band3,25,0.10,always,1503,85.3246226627619,0.0886981918550862,0.9650229908753944,-0.152023210645435,0.9456520731045661,0.984147553674609,0.830004095276028,1.0744025954267538,0.1005772257455464,-0.15202321064543478,-1.581440208506013,-0.09535667088818234,0.017530267584431325,0.7352935338132902,7.203085531819458,0.7262557694048232,-2.586384949502389,-1.2745841520044952,-1.8429968642785344,-1.707259196499722,DD,H1|CAGR
