panel,theta,cad,family,con,CAGR,Sharpe,MaxDD,H1,H2,isCAGR,isSharpe,isMaxDD,oCAGR,oSharpe,oMaxDD,p4a,f4b,pass4b
U56,0.12,M,QUANTILE-M,RESPREAD,0.18274416944775895,1.1956497687098309,-0.2125595242332573,1.2779782480351687,1.1423975109258293,0.1679274671713713,1.2215248121828537,-0.11973917838351789,0.1950977490280268,1.185746648690013,-0.21255952423325708,False,DD,False
U56,0.12,M,QUANTILE-M,DEGROSS,0.04309515871893699,1.1910191530607555,-0.055399723384763955,1.2728774471076,1.1341299983718744,0.040057601789188046,1.2170941025546276,-0.029664938874551794,0.045605472505881206,1.1789680521153088,-0.055399723384763844,False,CAGR,False
U56,0.12,M,QUANTILE-F,RESPREAD,0.1842393850330526,1.1925004210174428,-0.2172078741992226,1.2793736983374537,1.134972871971761,0.1714528970040352,1.2291272554800428,-0.124951226567661,0.19488324912580413,1.174774966315794,-0.21720787419922294,False,DD,False
U56,0.12,M,QUANTILE-F,DEGROSS,0.04171717705315525,1.1828100714952143,-0.05470085628203858,1.267618596679573,1.1267418409155743,0.03866965023969371,1.2180646182559345,-0.02996851121713462,0.04423576112642902,1.1660302085702396,-0.05470085628203847,False,CAGR,False
U56,0.12,Q,MA-THRESH,RESPREAD,0.18518658998027426,1.0664447873052942,-0.267599514998173,1.3078547358636452,0.8635954421983287,0.2162938072689795,1.2762676004192073,-0.2172971132163768,0.16014610303012433,0.9117767586956896,-0.2675995149981726,False,DD,False
U56,0.12,Q,MA-THRESH,DEGROSS,0.038062240908120604,0.9289909622987629,-0.07061651101131206,1.054600970093311,0.836799236488333,0.03838469562796498,1.0210641379385401,-0.07061651101131206,0.037796539341955704,0.8683095908198039,-0.06147513467091903,False,OOS|CAGR,False
U56,0.12,Q,QUANTILE-M,RESPREAD,0.17085863077581886,1.0715286906595658,-0.2582170769496859,1.2388888866202097,0.9620809783384913,0.16562226540453384,1.176445655571217,-0.1838427795697003,0.17519228024546507,1.0138885274539091,-0.25821707694968576,False,DD,False
U56,0.12,Q,QUANTILE-M,DEGROSS,0.041152027430048754,1.0665678072788616,-0.06891670988050713,1.2406977202738931,0.9472428641408612,0.04018644586608855,1.1808002600694785,-0.04450703548968438,0.04194856251838419,1.0002563134747813,-0.06891670988050702,False,CAGR,False
U56,0.12,Q,QUANTILE-F,RESPREAD,0.1720300567247135,1.0697788983358685,-0.2604438080497984,1.2501548159830076,0.9480540692711314,0.1711456377993661,1.1948069979874347,-0.18374713384049124,0.1727595234101278,0.9973614365020173,-0.26044380804979883,False,DD,False
U56,0.12,Q,QUANTILE-F,DEGROSS,0.039671502937682845,1.0562368794715509,-0.06728792239404635,1.2409127158586812,0.9316070908542508,0.039109367844959886,1.1880062932800335,-0.043878114028374715,0.0401350601484316,0.97997838665046,-0.06728792239404702,False,CAGR,False
U56,0.06,W,MA-THRESH,RESPREAD,0.13718208236800944,1.05217505477924,-0.2212198697197285,1.1131410062264018,1.008921850103052,0.12439300529530084,1.024384734199362,-0.15312044208104203,0.14783251040710121,1.0754644254630854,-0.22121986971972862,False,DD,False
U56,0.06,W,MA-THRESH,DEGROSS,0.055559156850788494,1.0403147088354572,-0.09122083149896743,1.049953249048208,1.0359261797736374,0.04672585500403881,0.9309085569915804,-0.07070565088059755,0.06289584309553287,1.1240630738976263,-0.09122083149896687,False,CAGR,False
U56,0.06,W,QUANTILE-M,RESPREAD,0.14405047429965023,1.1643482198534596,-0.2117421181783704,1.2717485855182304,1.0837840798619232,0.1362975350112252,1.1896036422894443,-0.11048603689225533,0.150480431877563,1.1504391498352773,-0.21174211817837008,False,DD,False
U56,0.06,W,QUANTILE-M,DEGROSS,0.06435512157098344,1.1634069212846863,-0.09829192765547257,1.2667779799478986,1.0863921280868134,0.06048375508025661,1.1837878050069093,-0.05054551462371726,0.06755664046783694,1.1531536992536617,-0.09829192765547279,False,CAGR,False
U56,0.06,W,QUANTILE-F,RESPREAD,0.1448706806915223,1.1648056140722975,-0.21193228491329152,1.2563408205432043,1.0980462911844695,0.1337559652092446,1.1669966763973592,-0.1133826685492294,0.1541136326912531,1.1677887574157164,-0.2119322849132914,False,DD,False
U56,0.06,W,QUANTILE-F,DEGROSS,0.06331651163020435,1.1638302280559094,-0.09760691894755091,1.2550447263898001,1.0971913514706404,0.05847805958715013,1.1658987451894052,-0.050792288628601745,0.06732113199007439,1.166856244991993,-0.09760691894755136,False,CAGR,False
U56,0.06,M,MA-THRESH,RESPREAD,0.149028847046498,1.1186025114073594,-0.2041042502323459,1.1319543946569637,1.1173862972619248,0.12709010267573873,1.0424799704973684,-0.15594951832974535,0.16743209658649194,1.1775688807825728,-0.20410425023234557,False,DD,False
