panel,family,depth,bps,arm,thr,n_pool,empty,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,sd_across_draws,d_vs_S0,d_vs_SPY
U56,SLEEVE,0.5,25,S3_EXACT_MAX,,0.0,True,1.0617576564122284,0.1289245657348439,-0.18334964014435562,0.0,0.0,0.17974667182254522
U56,SLEEVE,0.5,25,S2_Q95_K20,,0.085,False,1.0511540614717318,,,0.03483355193812665,-0.010603594940496563,0.16914307688204866
U56,SLEEVE,0.5,25,S2_Q95_K50,,0.0,True,1.0617576564122282,,,2.223226821848096e-16,-2.220446049250313e-16,0.179746671822545
U56,SLEEVE,0.5,25,S2_Q95_K100,,0.0,True,1.0617576564122282,,,2.223226821848096e-16,-2.220446049250313e-16,0.179746671822545
U56,SLEEVE,0.5,25,S2_Q95_K200,,0.0,True,1.0617576564122282,,,2.223226821848096e-16,-2.220446049250313e-16,0.179746671822545
U56,SLEEVE,0.5,25,S2_Q95_K400,,0.0,True,1.0617576564122282,,,2.223226821848096e-16,-2.220446049250313e-16,0.179746671822545
U56,SLEEVE,0.5,25,S3_EXACT_Q95,,0.0,True,1.0617576564122284,0.1289245657348439,-0.18334964014435562,0.0,0.0,0.17974667182254522
U56,SLEEVE,0.5,25,ORACLE_OOS,200.0,5.0,False,1.0989124147273595,0.12634114330490887,-0.14234297327781686,0.0,0.03715475831513104,0.21690143013767627
U56,SLEEVE,1.0,10,S0_do_nothing,,0.0,True,1.1774914098378444,0.14486780221909457,-0.1820705506780067,0.0,0.0,0.2954804252481612
U56,SLEEVE,1.0,10,S1_IS_argmax,400.0,5.0,False,1.2097161402094496,0.14806905580705565,-0.18207055067800648,0.0,0.032224730371605226,0.32770515561976643
U56,SLEEVE,1.0,10,S2_MAX_K20,,0.015,False,1.173554336225572,,,0.03194401995620753,-0.003937073612272357,0.29154335163588885
U56,SLEEVE,1.0,10,S2_MAX_K50,,0.0,True,1.1774914098378446,,,2.223226821848096e-16,2.220446049250313e-16,0.2954804252481614
U56,SLEEVE,1.0,10,S2_MAX_K100,,0.0,True,1.1774914098378446,,,2.223226821848096e-16,2.220446049250313e-16,0.2954804252481614
U56,SLEEVE,1.0,10,S2_MAX_K200,,0.0,True,1.1774914098378446,,,2.223226821848096e-16,2.220446049250313e-16,0.2954804252481614
U56,SLEEVE,1.0,10,S2_MAX_K400,,0.0,True,1.1774914098378446,,,2.223226821848096e-16,2.220446049250313e-16,0.2954804252481614
U56,SLEEVE,1.0,10,S3_EXACT_MAX,,0.0,True,1.1774914098378444,0.14486780221909457,-0.1820705506780067,0.0,0.0,0.2954804252481612
U56,SLEEVE,1.0,10,S2_Q95_K20,,0.1325,False,1.1433944310743802,,,0.08839139027120042,-0.03409697876346418,0.261383446484697
U56,SLEEVE,1.0,10,S2_Q95_K50,,0.005,False,1.176179051967087,,,0.018536270831745187,-0.0013123578707574524,0.29416806737740375
U56,SLEEVE,1.0,10,S2_Q95_K100,,0.0,True,1.1774914098378446,,,2.223226821848096e-16,2.220446049250313e-16,0.2954804252481614
U56,SLEEVE,1.0,10,S2_Q95_K200,,0.0,True,1.1774914098378446,,,2.223226821848096e-16,2.220446049250313e-16,0.2954804252481614
U56,SLEEVE,1.0,10,S2_Q95_K400,,0.0,True,1.1774914098378446,,,2.223226821848096e-16,2.220446049250313e-16,0.2954804252481614
U56,SLEEVE,1.0,10,S3_EXACT_Q95,,0.0,True,1.1774914098378444,0.14486780221909457,-0.1820705506780067,0.0,0.0,0.2954804252481612
U56,SLEEVE,1.0,10,ORACLE_OOS,200.0,5.0,False,1.219185890654233,0.1419738257986607,-0.11952840297391276,0.0,0.0416944808163886,0.3371749060645498
U56,SLEEVE,1.0,25,S0_do_nothing,,0.0,True,1.0617576564122284,0.1289245657348439,-0.18334964014435562,0.0,0.0,0.17974667182254522
U56,SLEEVE,1.0,25,S1_IS_argmax,400.0,5.0,False,1.087546117769277,0.13138992385699777,-0.18334964014435562,0.0,0.025788461357048487,0.2055351331795937
U56,SLEEVE,1.0,25,S2_MAX_K20,,0.04,False,1.0466489377179704,,,0.0741099984052913,-0.015108718694258005,0.16463795312828722
U56,SLEEVE,1.0,25,S2_MAX_K50,,0.0,True,1.0617576564122282,,,2.223226821848096e-16,-2.220446049250313e-16,0.179746671822545
U56,SLEEVE,1.0,25,S2_MAX_K100,,0.0,True,1.0617576564122282,,,2.223226821848096e-16,-2.220446049250313e-16,0.179746671822545
U56,SLEEVE,1.0,25,S2_MAX_K200,,0.0,True,1.0617576564122282,,,2.223226821848096e-16,-2.220446049250313e-16,0.179746671822545
U56,SLEEVE,1.0,25,S2_MAX_K400,,0.0,True,1.0617576564122282,,,2.223226821848096e-16,-2.220446049250313e-16,0.179746671822545
U56,SLEEVE,1.0,25,S3_EXACT_MAX,,0.0,True,1.0617576564122284,0.1289245657348439,-0.18334964014435562,0.0,0.0,0.17974667182254522
U56,SLEEVE,1.0,25,S2_Q95_K20,,0.2,False,0.9908786055294386,,,0.14758633192699228,-0.07087905088278978,0.10886762093975544
U56,SLEEVE,1.0,25,S2_Q95_K50,,0.0075,False,1.058924771657055,,,0.032629249228354334,-0.002832884755173515,0.1769137870673717
U56,SLEEVE,1.0,25,S2_Q95_K100,,0.0,True,1.0617576564122282,,,2.223226821848096e-16,-2.220446049250313e-16,0.179746671822545
