panel,kind,etf_share,width,seed,theta,cad,family,window,ident_max_err,c_bar,c_sd,gap0_pp,pred0_pp,resid0_pp,CAGR_rs0,CAGR_dg0
U56,anchor,0.6363636363636364,55,-1,0.06,M,QUANTILE-F,FULL,1.3877787807814457e-17,0.44247667386628337,0.005815344512005921,-9.19389160688282,-9.127110104424684,-0.06678150245813619,0.16210052784030005,0.07016161177147184
U56,anchor,0.6363636363636364,55,-1,0.06,M,QUANTILE-F,IS,1.3877787807814457e-17,0.44219891157672064,0.005391558485034306,-8.367150104921507,-8.300798361338678,-0.06635174358282825,0.1475552402362672,0.06388373918705215
U56,anchor,0.6363636363636364,55,-1,0.06,M,QUANTILE-F,OOS,1.3877787807814457e-17,0.4427058020681544,0.006134603642671001,-9.886956004035351,-9.819245475777194,-0.06771052825815715,0.17423771001825927,0.07536814997790575
U56,anchor,0.6363636363636364,55,-1,0.06,Q,MA-THRESH,FULL,3.469446951953614e-17,0.4386154512696902,0.1970395207704045,-8.76551440878286,-8.133746957231235,-0.6317674515516245,0.14499765280714483,0.05734250871931623
U56,anchor,0.6363636363636364,55,-1,0.06,Q,MA-THRESH,IS,3.469446951953614e-17,0.4357329650642714,0.20013175247193174,-8.177001008994612,-7.879256965178394,-0.297744043816218,0.1393191240768552,0.057549113986909095
U56,anchor,0.6363636363636364,55,-1,0.06,Q,MA-THRESH,OOS,3.469446951953614e-17,0.4409932358213859,0.19446080771998722,-9.253110189909663,-8.342730144523557,-0.9103800453861055,0.1497032107602656,0.05717210886116897
U56,anchor,0.6363636363636364,55,-1,0.06,Q,QUANTILE-F,FULL,1.3877787807814457e-17,0.44611326395205525,0.010112075792254878,-8.8525910344456,-8.761352935380916,-0.09123809906468416,0.15744397282415346,0.06891806247969745
U56,anchor,0.6363636363636364,55,-1,0.06,Q,QUANTILE-F,IS,1.3877787807814457e-17,0.44479260946600574,0.009579620044924925,-8.457122859750976,-8.3934350268845,-0.06368783286647606,0.15011737494961275,0.06554614635210299
U56,anchor,0.6363636363636364,55,-1,0.06,Q,QUANTILE-F,OOS,1.3877787807814457e-17,0.4472026817710037,0.010407585286489062,-9.181524403712626,-9.066033913814508,-0.11549048989811794,0.16352285552411372,0.07170761148698745
U56,anchor,0.6363636363636364,55,-1,0.0,W,MA-THRESH,FULL,2.42861286636753e-17,0.707359609760574,0.2002877297862291,-3.8989700353108114,-3.6686416294197333,-0.23032840589107817,0.12445964293046075,0.08546994257735263
U56,anchor,0.6363636363636364,55,-1,0.0,W,MA-THRESH,IS,2.42861286636753e-17,0.7005799616964405,0.19764864502174787,-3.9165560127441212,-3.4325073387398097,-0.4840486740043115,0.11395361874532184,0.07478805861788063
U56,anchor,0.6363636363636364,55,-1,0.0,W,MA-THRESH,OOS,2.42861286636753e-17,0.7129521924423314,0.2023083796621693,-3.883931039952615,-3.8561663243876776,-0.027764715564937426,0.13320068095277726,0.09436137055325111
U56,anchor,0.6363636363636364,55,-1,0.0,W,QUANTILE-F,FULL,4.163336342344337e-17,0.7084172662787374,0.002010197825741587,-4.069216450059021,-4.057627923995288,-0.01158852606373273,0.13790005054947763,0.09720788604888742
