panel,theta,cad,family,ident_max_err,window,c_bar,c_sd,gap0_pp,pred0_pp,resid0_pp,share,CAGR_rs0,CAGR_dg0
U56,0.06,Q,QUANTILE-M,8.673617379884035e-18,OOS,0.4579901713230287,0.011139613086086844,-8.831273388629523,-8.719678400349085,-0.11159498828043724,0.987363658289175,0.16050813143347264,0.07219539754717741
U56,0.06,Q,QUANTILE-F,1.0408340855860843e-17,FULL,0.44611326395205525,0.010112075792254874,-8.8525910344456,-8.76135293538094,-0.09123809906466107,0.9896936276950271,0.15744397282415346,0.06891806247969745
U56,0.06,Q,QUANTILE-F,1.0408340855860843e-17,IS,0.44479260946600574,0.009579620044924977,-8.457122859750976,-8.393435026884521,-0.06368783286645474,0.9924693262800335,0.15011737494961275,0.06554614635210299
U56,0.06,Q,QUANTILE-F,1.0408340855860843e-17,OOS,0.44720268177100364,0.01040758528648902,-9.181524403712604,-9.066033913814486,-0.11549048989811794,0.9874214253733924,0.1635228555241135,0.07170761148698745
U56,0.0,W,MA-THRESH,1.3877787807814457e-17,FULL,0.707359609760574,0.2002877297862291,-3.8989700353108114,-3.6686416294197333,-0.23032840589107817,0.9409258332828615,0.12445964293046075,0.08546994257735263
U56,0.0,W,MA-THRESH,1.3877787807814457e-17,IS,0.7005799616964404,0.1976486450217479,-3.916556012744099,-3.4325073387398097,-0.4840486740042893,0.8764096128258497,0.11395361874532184,0.07478805861788085
U56,0.0,W,MA-THRESH,1.3877787807814457e-17,OOS,0.7129521924423314,0.2023083796621693,-3.883931039952615,-3.8561663243877,-0.02776471556491522,0.9928513881221603,0.13320068095277726,0.09436137055325111
U56,0.0,W,QUANTILE-M,2.7755575615628914e-17,FULL,0.7151694151337924,0.006214326220578266,-3.957357537729811,-3.9413941509478523,-0.015963386781958633,0.9959661499801921,0.13716955319028545,0.09759597781298734
U56,0.0,W,QUANTILE-M,2.7755575615628914e-17,IS,0.7170279462645963,0.005955124759478401,-3.7571131321974205,-3.73988697747607,-0.017226154721350362,0.995415055625095,0.1310583864565078,0.0934872551345336
U56,0.0,W,QUANTILE-M,2.7755575615628914e-17,OOS,0.7136362988249049,0.00600280039745093,-4.123863402646899,-4.110542706161602,-0.013320696485297212,0.996769850214547,0.14223554580126474,0.10099691177479575
U56,0.0,W,QUANTILE-F,1.3877787807814457e-17,FULL,0.7084172662787374,0.0020101978257415867,-4.069216450058999,-4.057627923995244,-0.011588526063754934,0.9971521480348908,0.1379000505494774,0.09720788604888742
U56,0.0,W,QUANTILE-F,1.3877787807814457e-17,IS,0.708375821613468,0.0019216487515473968,-3.906273874199595,-3.895094756760864,-0.011179117438731012,0.9971381634266436,0.1323605717477796,0.09329783300578365
U56,0.0,W,QUANTILE-F,1.3877787807814457e-17,OOS,0.7084514542948472,0.0020801793016049053,-4.2046158075489615,-4.192655480527829,-0.011960327021132144,0.9971554292785423,0.14248999959964004,0.10044384152415042
U56,0.0,M,MA-THRESH,1.3877787807814457e-17,FULL,0.7087034618202079,0.1997908084523501,-3.922293084533446,-3.8251285321222905,-0.09716455241115529,0.9752276155001525,0.13012591284589714,0.09090298200056268
U56,0.0,M,MA-THRESH,1.3877787807814457e-17,IS,0.7055641354653036,0.20135204007539112,-3.3584299600232015,-3.4792078367907653,0.1207778767675638,1.0359626010383522,0.11746323953691551,0.0838789399366835
U56,0.0,M,MA-THRESH,1.3877787807814457e-17,OOS,0.7112931157430575,0.1984977644924952,-4.3947962631831095,-4.109685851934697,-0.28511041124841263,0.9351254542475855,0.14067937857997403,0.09673141594814294
U56,0.0,M,QUANTILE-M,1.3877787807814457e-17,FULL,0.7162242849380905,0.007241769310850418,-4.24369352668974,-4.188835456191176,-0.054858070498564615,0.9870730366946747,0.14574429364195907,0.10330735837506166
