panel,shape,eps,draw,pick_flip,ref_pick,pick,is_Sharpe,oos_CAGR,oos_Sharpe,oos_MaxDD,base_oos_CAGR,base_oos_Sharpe,base_oos_MaxDD,spy_oos_CAGR,spy_oos_Sharpe,spy_oos_MaxDD
U56,IID,0.001,21,False,BAND08@g1.00,BAND08@g1.00,1.121708556813315,0.11968614520244159,1.157600278347,-0.19037458421963682,0.09429051673623468,1.2714852564093948,-0.12053033675530922,0.15239210173376416,0.868476513551216,-0.3380305939134157
U56,IID,0.001,22,False,BAND08@g1.00,BAND08@g1.00,1.1244368097759856,0.11986200906574429,1.1600578128081902,-0.19046570474255808,0.09425430935956136,1.272318327570059,-0.12055065216310801,0.15230085294778917,0.8685359631941053,-0.3375138458911806
U56,IID,0.001,23,False,BAND08@g1.00,BAND08@g1.00,1.12408896141345,0.11998455271782449,1.1617375652643744,-0.19043987088262604,0.09431104609091157,1.2720449956711792,-0.12049733167148824,0.15215933060999753,0.8693969791085672,-0.33784376541397354
U56,IID,0.003,0,False,BAND08@g1.00,BAND08@g1.00,1.1221357338560005,0.12032734242233079,1.1613270026009104,-0.19030701265837213,0.09381135824624742,1.2658120587650121,-0.12042984204197671,0.1522315992498462,0.8544507439112128,-0.33733335415364607
U56,IID,0.003,1,False,BAND08@g1.00,BAND08@g1.00,1.1172023132055318,0.1202362054164956,1.1644120876596813,-0.19029689087278823,0.09380536529510075,1.2658809155787472,-0.12043628521672467,0.1522261390039068,0.8548324069504918,-0.33759966635998306
U56,IID,0.003,2,False,BAND08@g1.00,BAND08@g1.00,1.1150689933427964,0.12016043360407647,1.1615466346878685,-0.19056702365155764,0.09484022208257681,1.280054521100283,-0.12058901056539895,0.15243355727993313,0.8586532120315746,-0.33834457814382757
U56,IID,0.003,3,False,BAND08@g1.00,BAND08@g1.00,1.1343561451879751,0.12067432049139826,1.165757581740206,-0.1907299897728062,0.09467278640071886,1.2768497309755924,-0.12081006291027907,0.15246450542733947,0.8567123194796702,-0.3373482956222542
U56,IID,0.003,4,False,BAND08@g1.00,BAND08@g1.00,1.1307725282835182,0.1200023890638191,1.1623804265432662,-0.1905151854873106,0.09420520308266678,1.2714928816558986,-0.12078834223414514,0.15231917733325084,0.8638177138379953,-0.33763556632169334
U56,IID,0.003,5,False,BAND08@g1.00,BAND08@g1.00,1.1214156986891997,0.11857251731612961,1.1472742432752288,-0.19085506196014512,0.09446136548143103,1.2730214326739222,-0.120933469209212,0.15287627003083393,0.8551864793402406,-0.33828143687907053
U56,IID,0.003,6,False,BAND08@g1.00,BAND08@g1.00,1.1193899772477707,0.11983892020032738,1.1587517268661305,-0.19062659432886164,0.09396568376096615,1.2669226304507089,-0.12077538851296976,0.15212763086348557,0.8595790227499494,-0.33724969391642956
