panel,kind,q,draw,Ebar,Emed,selectivity20,EW_Sharpe,EW_OOS_Sharpe,ADAPT_Sharpe,S1_rho_n_OOS,S2_overlap,S3_reversal,S4_argmax_n,S5_fix_minus_adapt,best_prem,breadth,breadth_IS,breadth_OOS
MIX q=0.7 d1,mix,0.7,1.0,15.916867469879518,17.0,1.2565286503671182,0.7717817840290617,0.7127798928450473,0.7914429361167991,0.4285714285714286,0.9689119170984456,0.6666666666666666,20.0,-0.07490578843632523,-0.055244636348587894,0.3931845238095238,0.3596268656716418,0.4154455445544555
MIX q=0.7 d2,mix,0.7,2.0,16.043373493975903,17.0,1.2466206067888255,0.5532103050496423,0.6478794207228254,0.563445386025239,0.7714285714285715,0.9614999999999999,0.7333333333333333,20.0,0.09729196434869058,0.10752704532428725,0.3963095238095238,0.36843283582089553,0.41480198019801984
MIX q=0.7 d3,mix,0.7,3.0,16.96867469879518,18.0,1.1786424311275205,0.5399044676775995,0.571659914960464,0.5380177519703251,0.4285714285714286,0.9538167938931297,0.7333333333333333,10.0,0.08272480047616149,0.12838894112907262,0.4191666666666667,0.3680597014925373,0.4530693069306931
MIX q=0.7 d4,mix,0.7,4.0,15.096385542168674,16.0,1.3248204309656824,0.6496280895918638,0.4895990065926169,0.6521227398531176,-0.7714285714285715,0.9629213483146067,0.3333333333333333,15.0,-0.057323146639746914,0.02842045272020055,0.3729166666666667,0.3604477611940298,0.3811881188118812
MIX q=0.7 d5,mix,0.7,5.0,17.61566265060241,18.0,1.1353532590110116,0.4595202924514028,0.5342477263894424,0.44089232476071377,-0.4285714285714286,0.95859375,0.4,5.0,-0.08088036775564805,0.0038726963112371005,0.4351488095238096,0.4209701492537313,0.44455445544554456
MIX q=0.8 d0,mix,0.8,0.0,17.165060240963854,18.0,1.1651575770337617,0.3541235021271998,0.26038850700316807,0.35621361695684317,0.8285714285714287,0.9547138047138047,0.26666666666666666,20.0,0.08320177578007804,0.08529189060972142,0.42401785714285717,0.44738805970149254,0.40851485148514854
MIX q=0.8 d1,mix,0.8,1.0,17.29879518072289,18.0,1.1561498815991085,0.4251017362251553,0.3356717241773833,0.4233068552905799,1.0,0.9561538461538461,0.6666666666666666,40.0,0.038278083831902454,0.06304901064998347,0.42732142857142863,0.4208208955223881,0.43163366336633663
MIX q=0.8 d2,mix,0.8,2.0,13.603614457831325,14.0,1.4701975024355682,0.29961759988979436,0.18630607325466764,0.312345815753885,-0.6,0.959047619047619,0.8,20.0,0.005540479646081065,0.018268695510171684,0.3360416666666666,0.29873134328358203,0.3607920792079208
MIX q=0.8 d3,mix,0.8,3.0,16.221686746987952,17.0,1.2329174093879975,0.5657648215708464,0.5830883338851416,0.5679351139097678,0.48571428571428577,0.9611979166666665,0.3333333333333333,20.0,-0.024178560226962853,-0.022008267888041444,0.4007142857142857,0.3909701492537313,0.40717821782178215
MIX q=0.8 d4,mix,0.8,4.0,14.7,15.0,1.3605442176870748,0.5822403500880968,0.43118647928363574,0.5865049465509964,0.4285714285714286,0.9679775280898877,0.7333333333333333,20.0,0.03088946032838613,0.03515405679128569,0.363125,0.3497014925373135,0.372029702970297
