scope,neutral,q,tau,n,abstain_rate,D_raw,t_raw,D_net,t_net,FREE,t_free,verdict_raw,verdict_net,flips,file
2026-09-05_defensive-class-census_B.grid.csv,IS-MEDIAN-ARM,0.3,0.0016206240467324998,129,0.3023255813953488,0.0004077874839544498,1.4174083418728523,-0.010768408824761287,-2.043857101973196,0.011176196308715736,2.117824456300158,POS,NEG/0,True,2026-09-05_defensive-class-census_B.grid.csv
2026-09-05_defensive-class-census_B.grid.csv,IS-MEDIAN-ARM,0.4,0.003163255509005461,129,0.40310077519379844,0.0031653345678467597,1.3526830598259505,-0.013439260358118526,-2.293282034795379,0.016604594925965284,3.0373021245349303,POS,NEG/0,True,2026-09-05_defensive-class-census_B.grid.csv
2026-09-05_defensive-class-census_B.grid.csv,IS-MEDIAN-ARM,0.5,0.005991600237954,129,0.49612403100775193,0.00700322710438605,2.1081821998404293,-0.01305185767608998,-1.932726477657585,0.020055084780476032,3.4459034203526144,POS,NEG/0,True,2026-09-05_defensive-class-census_B.grid.csv
2026-09-05_defensive-class-census_B.grid.csv,IS-MEDIAN-ARM,0.6,0.008457502647133599,129,0.5968992248062015,0.008491304102548475,2.3790132238016053,-0.01591509928808301,-2.1991408796071483,0.02440640339063149,3.95902646593007,POS,NEG/0,True,2026-09-05_defensive-class-census_B.grid.csv
2026-09-05_defensive-class-census_B.grid.csv,IS-MEDIAN-ARM,0.7,0.012675932973347778,129,0.6976744186046512,0.009383636906706846,2.623247703527219,-0.016533691131104287,-2.276738088397922,0.02591732803781113,4.213520389812469,POS,NEG/0,True,2026-09-05_defensive-class-census_B.grid.csv
2026-09-05_defensive-class-census_B.grid.csv,IS-MEDIAN-ARM,0.8,0.017178909063105263,129,0.7984496124031008,0.010468366797349181,2.8001360150019776,-0.018024629153506916,-2.4353315487694513,0.0284929959508561,4.628262885269456,POS,NEG/0,True,2026-09-05_defensive-class-census_B.grid.csv
2026-09-05_defensive-class-census_B.grid.csv,IS-MEDIAN-ARM,0.9,0.025702163161944225,129,0.8992248062015504,0.014892090902185752,3.6369115985639295,-0.01517857859575578,-1.916069814889566,0.030070669497941533,4.763356482398923,POS,NEG/0,True,2026-09-05_defensive-class-census_B.grid.csv
2026-09-05_defensive-class-census_B.grid.csv,IS-MEDIAN-ARM,1.0,inf,129,1.0,0.02615723817248272,4.67845399304699,-0.005703160559169219,-0.6371147231470276,0.03186039873165194,5.03327812063622,POS,NEG/0,True,2026-09-05_defensive-class-census_B.grid.csv
2026-09-05_does-a-random-screen-de-concentrate-just-as-well_B.corpus.csv,MENU-MEAN,0.1,0.00750828507858418,64,0.109375,0.0016120765298803727,0.9021788944121889,-0.0011722722299446044,-0.8456552905257823,0.002784348759824977,1.9424676675699013,POS,NEG/0,True,2026-09-05_does-a-random-screen-de-concentrate-just-as-well_B.corpus.csv
2026-09-05_does-a-random-screen-de-concentrate-just-as-well_B.corpus.csv,MENU-MEAN,0.2,0.009950744932322161,64,0.203125,0.002021370774617158,1.03326572971657,-0.0027164351086354298,-1.42210444267495,0.004737805883252588,2.5437108185118755,POS,NEG/0,True,2026-09-05_does-a-random-screen-de-concentrate-just-as-well_B.corpus.csv
2026-09-05_does-a-random-screen-de-concentrate-just-as-well_B.corpus.csv,MENU-MEAN,0.3,0.014038671480706928,64,0.296875,0.004791389639902572,1.230678215014639,-0.0005135966846773845,-0.18968924858594927,0.005304986324579956,1.8232655727456968,POS,NEG/0,True,2026-09-05_does-a-random-screen-de-concentrate-just-as-well_B.corpus.csv
2026-09-05_does-a-random-screen-de-concentrate-just-as-well_B.corpus.csv,MENU-MEAN,0.4,0.018615719219267805,64,0.40625,0.003363493901937758,0.8393503157455013,0.00043685729936901495,0.14075075214825267,0.002926636602568743,0.8670767310601897,POS,POS,False,2026-09-05_does-a-random-screen-de-concentrate-just-as-well_B.corpus.csv
2026-09-05_does-a-random-screen-de-concentrate-just-as-well_B.corpus.csv,MENU-MEAN,0.5,0.02713395959225375,64,0.5,0.004033825683234658,0.8698699838329889,-0.0027022975497465597,-0.6801013138459129,0.006736123232981218,1.7199364756127984,POS,NEG/0,True,2026-09-05_does-a-random-screen-de-concentrate-just-as-well_B.corpus.csv
2026-09-05_does-a-random-screen-de-concentrate-just-as-well_B.corpus.csv,MENU-MEAN,0.6,0.0400562911743931,64,0.578125,0.009552611010062204,1.64685661694786,-0.0026411257090744136,-0.4979226546053366,0.012193736719136618,2.508907245443076,POS,NEG/0,True,2026-09-05_does-a-random-screen-de-concentrate-just-as-well_B.corpus.csv
2026-09-05_does-a-random-screen-de-concentrate-just-as-well_B.corpus.csv,MENU-MEAN,0.7,0.05441012131902053,64,0.703125,0.011102660803541232,1.8535375845109843,-0.0064447953763462715,-1.0489601760784109,0.017547456179887504,3.206970196073221,POS,NEG/0,True,2026-09-05_does-a-random-screen-de-concentrate-just-as-well_B.corpus.csv
2026-09-05_does-a-random-screen-de-concentrate-just-as-well_B.corpus.csv,MENU-MEAN,0.8,0.07815453177026024,64,0.796875,0.007095099808461157,0.9376111120373987,-0.010004757884233018,-1.5339485792520309,0.017099857692694176,2.6353446951829937,POS,NEG/0,True,2026-09-05_does-a-random-screen-de-concentrate-just-as-well_B.corpus.csv
2026-09-05_does-a-random-screen-de-concentrate-just-as-well_B.corpus.csv,MENU-MEAN,0.9,0.14736404308464854,64,0.890625,0.01053856963438849,1.3398284591604126,-0.010686371962155064,-1.5749303945755055,0.021224941596543555,3.122986070754765,POS,NEG/0,True,2026-09-05_does-a-random-screen-de-concentrate-just-as-well_B.corpus.csv
2026-09-05_does-a-random-screen-de-concentrate-just-as-well_B.corpus.csv,MENU-MEAN,1.0,inf,64,1.0,0.02249556124539518,2.316743507266405,-0.004549206473456479,-0.5597505465195459,0.027044767718851663,3.8789904879141854,POS,NEG/0,True,2026-09-05_does-a-random-screen-de-concentrate-just-as-well_B.corpus.csv
2026-09-05_does-a-random-screen-de-concentrate-just-as-well_B.corpus.csv,IS-MEDIAN-ARM,0.1,0.00750828507858418,64,0.109375,0.0016120765298803727,0.9021788944121889,-0.0011412149981036498,-0.4705401867511978,0.0027532915279840225,1.817064110579951,POS,NEG/0,True,2026-09-05_does-a-random-screen-de-concentrate-just-as-well_B.corpus.csv
2026-09-05_does-a-random-screen-de-concentrate-just-as-well_B.corpus.csv,IS-MEDIAN-ARM,0.2,0.009950744932322161,64,0.203125,0.002021370774617158,1.03326572971657,-0.0014014222726084673,-0.46037673158597925,0.003422793047225625,1.7010821811434056,POS,NEG/0,True,2026-09-05_does-a-random-screen-de-concentrate-just-as-well_B.corpus.csv
2026-09-05_does-a-random-screen-de-concentrate-just-as-well_B.corpus.csv,IS-MEDIAN-ARM,0.3,0.014038671480706928,64,0.296875,0.004791389639902572,1.230678215014639,0.005976001212626836,1.1922392683406924,-0.001184611572724265,-0.32563651163906554,POS,POS,False,2026-09-05_does-a-random-screen-de-concentrate-just-as-well_B.corpus.csv
2026-09-05_does-a-random-screen-de-concentrate-just-as-well_B.corpus.csv,IS-MEDIAN-ARM,0.4,0.018615719219267805,64,0.40625,0.003363493901937758,0.8393503157455013,0.009845403994578455,1.8728971702716224,-0.006481910092640698,-1.5176715029589425,POS,POS,False,2026-09-05_does-a-random-screen-de-concentrate-just-as-well_B.corpus.csv
2026-09-05_does-a-random-screen-de-concentrate-just-as-well_B.corpus.csv,IS-MEDIAN-ARM,0.5,0.02713395959225375,64,0.5,0.004033825683234658,0.8698699838329889,0.003010163835964496,0.38176669595672447,0.0010236618472701602,0.1481226246210247,POS,POS,False,2026-09-05_does-a-random-screen-de-concentrate-just-as-well_B.corpus.csv
