legset,wstart,cost,kind,panel,book,gross,cadence,binding,rec_h1,rec_h2,disj_h1,disj_h2,spy_h1,spy_h2
REC5,2012-01-01,25.0,DESTROYED,U56,BAND03,1.0,M,L_H1,1.1941819718457205,1.111152054609953,1.6401530965198514,0.8228329923732172,1.8067534942921046,0.567150494209081
REC5,2012-01-01,25.0,DESTROYED,B136,TOP10,0.5,M,L_H1,1.2057461780833139,0.8438677466550051,1.6410602855178429,1.1996820125639938,1.8068237869507007,0.5671795096429402
REC5,2012-01-01,50.0,DESTROYED,U56,TOP20,0.65,M,L_H1,1.0597285965677903,1.0614417885124994,1.2998964206846233,0.7919628121416019,1.8067534942921046,0.567150494209081
REC5,2012-01-01,50.0,DESTROYED,U56,TOP20,0.75,M,L_H1,1.0614807095061076,1.062650719491735,1.3016589547892163,0.7931457096673715,1.8067534942921046,0.567150494209081
REC5,2012-01-01,50.0,DESTROYED,U56,BAND03,1.0,M,L_H1,1.1525987449574115,1.0704397890526784,1.5977337008194537,0.7738296631767021,1.8067534942921046,0.567150494209081
REC5,2013-01-01,0.0,DESTROYED,U56,TOP5,0.5,W,L_H1,1.008944724810907,1.089753458756114,1.2761555629212107,1.199683838259132,1.876828368352639,0.5110070317563842
REC5,2013-01-01,0.0,DESTROYED,U56,TOP5,0.65,W,L_H1,1.0101125770072161,1.0918375098571689,1.2795596418826645,1.2006634294213003,1.876828368352639,0.5110070317563842
REC5,2013-01-01,0.0,DESTROYED,U56,TOP10,0.5,M,L_H1,1.255783501077386,1.09525343819496,1.5604545540210495,1.335649587565497,1.876828368352639,0.5110070317563842
REC5,2013-01-01,0.0,DESTROYED,U56,TOP10,0.65,W,L_H1,1.0228201966377306,1.0322786519324245,1.4151460555596178,1.2875459579957167,1.876828368352639,0.5110070317563842
REC5,2013-01-01,0.0,DESTROYED,U56,TOP10,0.75,W,L_H1,1.0233153734422344,1.0328675905828564,1.4169797678562681,1.2875552105773507,1.876828368352639,0.5110070317563842
REC5,2013-01-01,0.0,DESTROYED,U56,TOP20,0.65,W,L_H1,1.1834378220121387,1.169277707108451,1.780248699845577,1.0257209929447753,1.876828368352639,0.5110070317563842
REC5,2013-01-01,0.0,DESTROYED,U56,TOP20,0.65,M,L_H1,1.2529232086067303,1.2319688905026052,1.72025996060227,0.9930321421598026,1.876828368352639,0.5110070317563842
REC5,2013-01-01,0.0,DESTROYED,U56,TOP20,0.75,W,L_H1,1.1833851063627507,1.1693528754467222,1.781323944392168,1.0250910367176176,1.876828368352639,0.5110070317563842
